"code","name","country_id:id","short_code"
"AMA","Amazonas","base.ve","AMA"
"ANZ","Anzoátegui","base.ve","ANZ"
"APU","Apure","base.ve","APU"
"ARA","Aragua","base.ve","ARA"
"BAR","Barinas","base.ve","BAR"
"BOL","Bolívar","base.ve","BOL"
"CAR","Carabobo","base.ve","CAR"
"COJ","Cojedes","base.ve","COJ"
"DAM","Delta Amacuro","base.ve","DAM"
"DCA","Distrito Capital","base.ve","DCA"
"FAL","Falcón","base.ve","FAL"
"GUA","Guárico","base.ve","GUA"
"LAR","Lara","base.ve","LAR"
"MER","Mérida","base.ve","MER"
"MIR","Miranda","base.ve","MIR"
"MON","Monagas","base.ve","MON"
"NES","Nueva Esparta","base.ve","NES"
"POR","Portuguesa","base.ve","POR"
"SUC","Sucre","base.ve","SUC"
"TAC","Táchira","base.ve","TAC"
"TRU","Trujillo","base.ve","TRU"
"VAR","Vargas","base.ve","VAR"
"YAR","Yaracuy","base.ve","YAR"
"ZUL","Zulia","base.ve","ZUL"
